"","Rank","Title","Comments","Points","Submitter","Time"
"238","238.","Why Italy Fell Out of Love with Cilantro (atlasobscura.com)","227 comments","174 points","pepys","2 days ago"
"239","239.","Recursive Program Synthesis using Paramorphisms [pdf] (stanford.edu)","discuss","3 points","luu","1 day ago"
"240","240.","AMD Is Becoming a Software Company (techpowerup.com)","13 comments","32 points","AbuAssar","1 day ago"
"241","241.","Why Italy Fell Out of Love with Cilantro (atlasobscura.com)","227 comments","174 points","pepys","2 days ago"
"242","242.","Recursive Program Synthesis using Paramorphisms [pdf] (stanford.edu)","discuss","3 points","luu","1 day ago"
"243","243.","AMD Is Becoming a Software Company (techpowerup.com)","13 comments","32 points","AbuAssar","1 day ago"
"244","244.","FAA orders inspection of 2,600 Boeing 737s over oxygen mask issue (reuters.com)","45 comments","68 points","marban","10 hours ago"
"245","245.","Modeling B-Trees in TLA+ (surfingcomplexity.blog)","discuss","5 points","todsacerdoti","1 day ago"
"246","246.","RE2 maintainer Paul Wankadia died (github.com/google)","7 comments","55 points","danlark","1 day ago"
"247","247.","The Biology of Fatigue (oup.com)","discuss","29 points","yamrzou","2 days ago"
"248","248.","Wordsworth Donisthorpe, Blackmail, and the First Motion Pictures (publicdomainreview.org)","1 comment","20 points","prismatic","2 days ago"
"249","249.","Mac shipments grew 6% year-on-year, outperforming the PC market (9to5mac.com)","3 comments","7 points","mgh2","2 hours ago"
"250","250.","New computational microscopy technique provides direct route to crisp images (phys.org)","discuss","4 points","PaulHoule","11 hours ago"
"251","251.","Civil Rights Analyst Calls FedEx Surveillance Program 'Profoundly Disconcerting' (msn.com)","7 comments","23 points","Mountain_Skies","5 hours ago"
"252","252.","Properly testing concurrent data structures (matklad.github.io)","30 comments","196 points","asicsp","3 days ago"
"253","253.","Gaussian Processes (quipu-strands.com)","1 comment","4 points","abhgh","1 day ago"
"254","254.","Retirement of Office 365 connectors within Microsoft Teams (microsoft.com)","12 comments","12 points","_lateralus_","8 hours ago"
"255","255.","Samsung workers begin three-day general strike over pay (france24.com)","discuss","3 points","webhat","11 hours ago"
"256","256.","My Gold Prospecting and Mining Pages (mdpub.com)","23 comments","59 points","Tomte","3 days ago"
"257","257.","Users rage Microsoft announces retirement of Office 365 connectors within Teams (theregister.com)","2 comments","19 points","LinuxBender","6 hours ago"
"258","258.","Programmable Matter – 3D Catoms (programmable-matter.com)","15 comments","70 points","fintler","4 days ago"
"259","259.","Some landfill 'burps' contain airborne PFAS, study finds (phys.org)","discuss","39 points","PaulHoule","9 hours ago"
"260","260.","The 18th-century French media stoked a werewolf panic (openculture.com)","27 comments","84 points","PaulHoule","2 days ago"
"261","261.","Starcraft (A History in Two Acts) (filfre.net)","171 comments","320 points","dmazin","3 days ago"
"262","262.","Radio Garden (radio.garden)","62 comments","288 points","peterburkimsher","3 days ago"
"263","263.","A revolution in archaeology is transforming our picture of past populations (aeon.co)","discuss","5 points","summerdown2","1 day ago"
"264","264.","Cold shipping might be the next industry that batteries disrupt (techcrunch.com)","76 comments","71 points","PaulHoule","1 day ago"
"265","265.","Eton bans smartphone for new pupils (dailymail.co.uk)","14 comments","22 points","Tomte","1 day ago"
"266","266.","Wave-momentum shaping for moving objects in heterogeneous and dynamic media (nature.com)","discuss","3 points","PaulHoule","1 day ago"
"267","267.","Spot the Drowning Child (2015) (spotthedrowningchild.com)","discuss","5 points","EndXA","1 day ago"
"268","268.","Don't use a $5 range outlet for EV charging (nerdralph.blogspot.com)","discuss","3 points","arantius","1 day ago"
"269","269.","Mimicking the cells that carry hemoglobin as a blood substitute (science.org)","58 comments","117 points","rbanffy","4 days ago"
"270","270.","Search Inernet Archive's New MTV News Collection (archive.org)","2 comments","20 points","Kye","1 day ago"
"271","271.","America Has an Answer to the Biggest Problem with EVs (theatlantic.com)","59 comments","17 points","rayrrr","21 hours ago"
"272","272.","Show HN: Bash Dungeon – An educational dungeon crawler in the shell (github.com/wolandark)","25 comments","162 points","wolandark","3 days ago"
"273","273.","Microsoft is mandating its employees in China stop using Android phones for work (businessinsider.com)","4 comments","13 points","tellarin","11 hours ago"
"274","274.","Rebooting (something like) early Triplebyte (otherbranch.com)","1 comment","6 points","luu","1 day ago"
"275","275.","Learning to (Learn at Test Time): RNNs with Expressive Hidden States (arxiv.org)","discuss","8 points","birriel","1 day ago"
"276","276.","Ask HN: Should I consolidate my blogs into one?","4 comments","4 points","skwee357","1 day ago"
"277","277.","An introduction to Jorvik, Ada's new tasking profile (adacore.com)","discuss","3 points","fanf2","1 day ago"
"278","278.","Google knows nearly every Wi-Fi password in the world (2013) (computerworld.com)","discuss","4 points","hammock","2 hours ago"
"279","279.","Another Win for Solar Power Windows, Another Headache for Fossil Fuels (cleantechnica.com)","discuss","16 points","thelastgallon","23 hours ago"
"280","280.","A brief history of liquid computers (2019) (royalsocietypublishing.org)","23 comments","40 points","adrian_mrd","2 days ago"
"281","281.","Pyxel: A retro game engine for Python (github.com/kitao)","discuss","9 points","nateb2022","2 days ago"
"282","282.","Dear Roku, you ruined my TV (theverge.com)","159 comments","169 points","some-guy","1 day ago"
"283","283.","Monte Carlo simulation for startup valuation","1 comment","4 points","TravisL","17 hours ago"
"284","284.","The internet is already over (2022) (samkriss.substack.com)","250 comments","231 points","thinkingemote","2 days ago"
"285","285.","Structured Information Extraction from Radiology Reports with LLMs (arxiv.org)","discuss","3 points","PaulHoule","1 day ago"
"286","286.","HP discontinues online-only LaserJet printers in response to backlash (tomshardware.com)","125 comments","134 points","ohmyblock","10 hours ago"
"287","287.","You Want to Fix Boeing? Prosecute Its Executives (thefp.com)","49 comments","145 points","fortran77","7 hours ago"
"288","288.","How I've Learned to Live with a Nonexistent Working Memory (medium.com/the-ascent)","63 comments","55 points","yamrzou","23 hours ago"
"289","289.","Astronaut: ""It takes 2 hours to orbit at the surface of any object made of rock"" (twitter.com/maxfagin)","6 comments","25 points","weinzierl","7 hours ago"
"290","290.","PigeonBot Uses Real Feathers to Explore How Birds Fly (ieee.org)","discuss","3 points","mhb","1 day ago"
"291","291.","Popular Prescription Weight Loss Drugs Linked to Uncommon Blinding Condition (massgeneralbrigham.org)","3 comments","11 points","ggm","1 day ago"
"292","292.","Gleam v1.3.0 – Auto-imports and tolerant expressions (gleam.run)","4 comments","21 points","crowdhailer","6 hours ago"
"293","293.","CISA join ASD to release advisory on PRC State-Sponsored Group, APT 40 (cisa.gov)","discuss","3 points","defrost","13 hours ago"
"294","294.","The Lazarus team is glad to announce the release of Lazarus 3.4 (freepascal.org)","9 comments","33 points","mariuz","1 day ago"
"295","295.","High-altitude cave used by Tibetan Buddhists yields a Denisovan fossil (arstechnica.com)","27 comments","145 points","namanyayg","3 days ago"
"296","296.","Synchronization Is Bad for Scale (wippler.dev)","51 comments","74 points","thunderbong","2 days ago"
"297","297.","Pop Culture (wheresyoured.at)","1 comment","6 points","pabs3","13 hours ago"
"298","298.","Sans-IO: The secret to effective Rust for network services (firezone.dev)","80 comments","233 points","wh33zle","5 days ago"
"299","299.","Time-mapping and future-oriented behavior in free-ranging wild fruit bats (cell.com)","discuss","3 points","lossolo","1 day ago"
"300","300.","The Software Crisis (wryl.tech)","193 comments","183 points","todsacerdoti","4 days ago"
